accession,Entry Name,organism,ec_number,length,protein_name,taxonomic_group,length_bin,ec_main_class
C1E9T6,GATB1_MICCC,Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga),6.3.5.-,543,"Glutamyl-tRNA(Gln) amidotransferase subunit B-1, chloroplastic/mitochondrial (Glu-AdT subunit B-1) (EC 6.3.5.-)",Algae,"(540, 550]",6
C1MIE8,GATB1_MICPC,Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga),6.3.5.-,545,"Glutamyl-tRNA(Gln) amidotransferase subunit B-1, chloroplastic/mitochondrial (Glu-AdT subunit B-1) (EC 6.3.5.-)",Algae,"(540, 550]",6
C1FJ20,GATB2_MICCC,Micromonas commoda (strain RCC299 / NOUM17 / CCMP2709) (Picoplanktonic green alga),6.3.5.-,529,"Glutamyl-tRNA(Gln) amidotransferase subunit B-2, chloroplastic/mitochondrial (Glu-AdT subunit B-2) (EC 6.3.5.-)",Algae,"(520, 530]",6
C1N138,GATB2_MICPC,Micromonas pusilla (strain CCMP1545) (Picoplanktonic green alga),6.3.5.-,580,"Glutamyl-tRNA(Gln) amidotransferase subunit B-2, chloroplastic/mitochondrial (Glu-AdT subunit B-2) (EC 6.3.5.-)",Algae,"(570, 580]",6
A2BHB7,GATC_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),6.3.5.-,184,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Fish,"(180, 190]",6
B3MN22,GATC_DROAN,Drosophila ananassae (Fruit fly),6.3.5.-,148,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(140, 150]",6
B4JCX8,GATC_DROGR,Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi),6.3.5.-,158,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(150, 160]",6
B4KEN8,GATC_DROMO,Drosophila mojavensis (Fruit fly),6.3.5.-,125,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(120, 130]",6
B4GX14,GATC_DROPE,Drosophila persimilis (Fruit fly),6.3.5.-,173,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(170, 180]",6
B5DK05,GATC_DROPS,Drosophila pseudoobscura pseudoobscura (Fruit fly),6.3.5.-,148,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(140, 150]",6
B4HXA6,GATC_DROSE,Drosophila sechellia (Fruit fly),6.3.5.-,148,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(140, 150]",6
B4Q572,GATC_DROSI,Drosophila simulans (Fruit fly),6.3.5.-,148,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(140, 150]",6
B4M8L8,GATC_DROVI,Drosophila virilis (Fruit fly),6.3.5.-,157,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(150, 160]",6
B4MVR2,GATC_DROWI,Drosophila willistoni (Fruit fly),6.3.5.-,153,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(150, 160]",6
B4P3Q9,GATC_DROYA,Drosophila yakuba (Fruit fly),6.3.5.-,148,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Insects,"(140, 150]",6
B7PZ18,GATC_IXOSC,Ixodes scapularis (Black-legged tick) (Deer tick),6.3.5.-,144,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Arachnids,"(140, 150]",6
B5DFW7,GATC_SALSA,Salmo salar (Atlantic salmon),6.3.5.-,194,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Fish,"(190, 200]",6
Q4RSW7,GATC_TETNG,Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis),6.3.5.-,188,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial (Glu-AdT subunit C) (EC 6.3.5.-)",Fish,"(180, 190]",6
B0XHW8,GATC1_CULQU,Culex quinquefasciatus (Southern house mosquito) (Culex pungens),6.3.5.-,173,"Glutamyl-tRNA(Gln) amidotransferase subunit C-1, mitochondrial (Glu-AdT subunit C-1) (EC 6.3.5.-)",Insects,"(170, 180]",6
B0W041,GATC2_CULQU,Culex quinquefasciatus (Southern house mosquito) (Culex pungens),6.3.5.-,166,"Glutamyl-tRNA(Gln) amidotransferase subunit C-2, mitochondrial (Glu-AdT subunit C-2) (EC 6.3.5.-)",Insects,"(160, 170]",6
B0WV73,GATC3_CULQU,Culex quinquefasciatus (Southern house mosquito) (Culex pungens),6.3.5.-,172,"Glutamyl-tRNA(Gln) amidotransferase subunit C-3, mitochondrial (Glu-AdT subunit C-3) (EC 6.3.5.-)",Insects,"(170, 180]",6
B0WGN4,GATC4_CULQU,Culex quinquefasciatus (Southern house mosquito) (Culex pungens),6.3.5.-,172,"Glutamyl-tRNA(Gln) amidotransferase subunit C-4, mitochondrial (Glu-AdT subunit C-4) (EC 6.3.5.-)",Insects,"(170, 180]",6
Q08392,GSTA1_CHICK,Gallus gallus (Chicken),2.5.1.18,221,Glutathione S-transferase (EC 2.5.1.18) (GST class-alpha),Birds,"(220, 230]",2
P46419,GSTM1_DERPT,Dermatophagoides pteronyssinus (European house dust mite),2.5.1.18,219,Glutathione S-transferase (EC 2.5.1.18) (GST class-mu) (Major allergen Der p 8) (P dp 15) (allergen Der p 8),Arachnids,"(210, 220]",2
M1RIR6,GSTM_TYRPU,Tyrophagus putrescentiae (Mold mite) (Acarus putrescentiae),2.5.1.18,218,Glutathione S-transferase (EC 2.5.1.18) (GST class-mu) (allergen Tyr p 8),Arachnids,"(210, 220]",2
P46088,GST_NOTSL,Nototodarus sloanii (Wellington flying squid) (Ommastrephes sloanei),2.5.1.18,203,Glutathione S-transferase (EC 2.5.1.18) (GST class-sigma),Molluscs,"(200, 210]",2
P20136,GSTM2_CHICK,Gallus gallus (Chicken),2.5.1.18,220,Glutathione S-transferase 2 (EC 2.5.1.18) (GST class-mu) (GST-CL2) (GSTM1-1),Birds,"(210, 220]",2
P26697,GSTA3_CHICK,Gallus gallus (Chicken),2.5.1.18,229,Glutathione S-transferase 3 (EC 2.5.1.18) (GST class-alpha) (GST-CL3),Birds,"(220, 230]",2
P82607,GST67_DICLA,Dicentrarchus labrax (European seabass) (Morone labrax),2.5.1.18,54,Glutathione S-transferase 6.7 (GST-6.7) (EC 2.5.1.18) (GST class-theta),Fish,"(50, 60]",2
P30568,GSTA_PLEPL,Pleuronectes platessa (European plaice),2.5.1.18,225,Glutathione S-transferase A (GST-A) (EC 2.5.1.18) (GST class-theta),Fish,"(220, 230]",2
P81942,GSTP1_BUFBU,Bufo bufo (European toad) (Rana bufo),2.5.1.18,210,Glutathione S-transferase P 1 (EC 2.5.1.18) (BBGSTP1-1) (GST class-pi),Amphibians,"(200, 210]",2
P83325,GSTP2_BUFBU,Bufo bufo (European toad) (Rana bufo),2.5.1.18,210,Glutathione S-transferase P 2 (EC 2.5.1.18) (BBGSTP2-2) (GST class-pi),Amphibians,"(200, 210]",2
Q9ZRW8,GSTUJ_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.5.1.18,219,Glutathione S-transferase U19 (AtGSTU19) (EC 2.5.1.18) (GST class-tau member 19) (Glutathione S-transferase 8),Plants,"(210, 220]",2
Q9ZW29,GSTU2_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.5.1.18,225,Glutathione S-transferase U2 (AtGSTU2) (EC 2.5.1.18) (GST class-tau member 2) (Glutathione S-transferase 20),Plants,"(220, 230]",2
Q9ZVQ3,GSTZ1_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.5.1.18; 5.2.1.-,221,Glutathione S-transferase Z1 (AtGSTZ1) (EC 2.5.1.18) (GST class-zeta member 1) (Glutathione S-transferase 18) (Maleylacetone isomerase) (MAI) (EC 5.2.1.-),Plants,"(220, 230]",2
Q9ZVQ4,GSTZ2_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.5.1.18,223,Glutathione S-transferase Z2 (AtGSTZ2) (EC 2.5.1.18) (GST class-zeta member 2),Plants,"(220, 230]",2
P20135,GSTT1_CHICK,Gallus gallus (Chicken),2.5.1.18,261,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta) (GST-CL1),Birds,"(260, 270]",2
Q9ZWB7,PCS2_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.3.2.15,452,Glutathione gamma-glutamylcysteinyltransferase 2 (EC 2.3.2.15) (Phytochelatin synthase 2) (AtPCS2),Plants,"(450, 460]",2
G9JJU2,GPX_PROCL,Procambarus clarkii (Red swamp crayfish),1.11.1.9,172,Glutathione peroxidase (PcGPx) (Se-PcGPx) (EC 1.11.1.9),Crustaceans,"(170, 180]",1
P83564,GPX1_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),1.11.1.9,201,"Glutathione peroxidase 1, mitochondrial (CrGPx1) (EC 1.11.1.9)",Algae,"(200, 210]",1
O22448,GPX5_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),1.11.1.24; 1.11.1.9,162,Glutathione peroxidase-like peroxiredoxin GPX5 (EC 1.11.1.24) (CrGPX5) (Glutathione peroxidase GPX5) (EC 1.11.1.9) (Glutathione peroxidase homolog),Algae,"(160, 170]",1
Q5SPB6,CHAC1_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),4.3.2.7,196,Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Cation transport regulator-like protein 1),Fish,"(190, 200]",4
P00357,G3P_HOMAM,Homarus americanus (American lobster),1.2.1.12,333,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12),Crustaceans,"(330, 340]",1
P56649,G3P_PANVR,Panulirus versicolor (Painted spiny lobster) (Palinurus versicolor),1.2.1.12,333,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12),Crustaceans,"(330, 340]",1
O57479,G3P_COLLI,Columba livia (Rock dove),1.2.1.12; 2.6.99.-,333,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Birds,"(330, 340]",1
Q05025,G3P_COTJA,Coturnix japonica (Japanese quail) (Coturnix coturnix japonica),1.2.1.12; 2.6.99.-,333,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Birds,"(330, 340]",1
P00356,G3P_CHICK,Gallus gallus (Chicken),1.2.1.12; 2.6.99.-,333,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Birds,"(330, 340]",1
O57672,G3P_MELGA,Meleagris gallopavo (Wild turkey),1.2.1.12; 2.6.99.-,234,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Birds,"(230, 240]",1
P51469,G3P_XENLA,Xenopus laevis (African clawed frog),1.2.1.12; 2.6.99.-,333,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),Amphibians,"(330, 340]",1
Q8VXQ9,G3PA_SCEVA,Scenedesmus vacuolatus (Green alga) (Coelastrella vacuolata),1.2.1.13,314,"Glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase A) (GAPDHA)",Algae,"(310, 320]",1
P50362,G3PA_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),1.2.1.13,374,"Glyceraldehyde-3-phosphate dehydrogenase A, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase subunit A)",Algae,"(370, 380]",1
P49644,G3PC_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),1.2.1.12,341,"Glyceraldehyde-3-phosphate dehydrogenase, cytosolic (EC 1.2.1.12)",Algae,"(340, 350]",1
Q8VXQ8,G3PC_SCEVA,Scenedesmus vacuolatus (Green alga) (Coelastrella vacuolata),1.2.1.12,312,"Glyceraldehyde-3-phosphate dehydrogenase, cytosolic (EC 1.2.1.12)",Algae,"(310, 320]",1
P86211,G3PT_MESAU,Mesocricetus auratus (Golden hamster),1.2.1.12,100,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific (EC 1.2.1.12) (Spermatogenic glyceraldehyde-3-phosphate dehydrogenase)",Mammals,"(90, 100]",1
Q6P824,GPD1L_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1.1.1.8,352,Glycerol-3-phosphate dehydrogenase 1-like protein (EC 1.1.1.8),Amphibians,"(350, 360]",1
A0A078H868,GPC1_BRANA,Brassica napus (Rape),2.3.1.-,387,Glycerophosphocholine acyltransferase 1 (GPCAT) (EC 2.3.1.-),Protists,"(380, 390]",2
A0A2C9JXL4,C1GLT_BIOGL,Biomphalaria glabrata (Bloodfluke planorb) (Freshwater snail),2.4.1.122,388,"Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1 (EC 2.4.1.122) (Glycoprotein-N-acetylgalactosamine beta-1,3-galactosyltransferase) (Beta-1,3-galactosyltransferase) (T-synthase)",Molluscs,"(380, 390]",2
A0A0D1CFF0,UGT1_MYCMD,Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis),2.4.1.-,578,Glycosyltransferase ugt1 (EC 2.4.1.-) (Ustilagic acid biosynthesis cluster protein ugt1),Protists,"(570, 580]",2
Q6PBF6,GAMT_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2.1.1.2,232,Guanidinoacetate N-methyltransferase (EC 2.1.1.2),Amphibians,"(230, 240]",2
P27044,GNAI1_XENLA,Xenopus laevis (African clawed frog),3.6.5.-,354,Guanine nucleotide-binding protein G(i) subunit alpha-1 (EC 3.6.5.-) (Adenylate cyclase-inhibiting G alpha protein),Amphibians,"(350, 360]",3
P38410,GNAQ_XENLA,Xenopus laevis (African clawed frog),3.6.5.-,359,Guanine nucleotide-binding protein G(q) subunit alpha (EC 3.6.5.-) (Guanine nucleotide-binding protein alpha-q),Amphibians,"(350, 360]",3
Q568P1,MESH1_DANRE,Danio rerio (Zebrafish) (Brachydanio rerio),3.1.7.2,180,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 (EC 3.1.7.2) (HD domain-containing protein 3) (Metazoan SpoT homolog 1) (MESH1) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)",Fish,"(170, 180]",3
Q28C98,MESH1_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3.1.7.2,179,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 (EC 3.1.7.2) (HD domain-containing protein 3) (Metazoan SpoT homolog 1) (MESH1) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)",Amphibians,"(170, 180]",3
Q9ZVJ5,SGGP_ARATH,Arabidopsis thaliana (Mouse-ear cress),3.1.3.-,244,Haloacid dehalogenase-like hydrolase domain-containing protein Sgpp (EC 3.1.3.-) (Subclass I phosphosugar phosphatase) (AtSgpp),Plants,"(240, 250]",3
O73888,HPGDS_CHICK,Gallus gallus (Chicken),2.5.1.18; 5.3.99.2,199,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),Birds,"(190, 200]",2
O73688,HMOX_TAKRU,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),1.14.14.18,277,Heme oxygenase (HO) (EC 1.14.14.18),Fish,"(270, 280]",1
P82942,VM3K_NAJKA,Naja kaouthia (Monocled cobra) (Naja siamensis),3.4.24.-,401,Hemorrhagic metalloproteinase-disintegrin-like kaouthiagin (EC 3.4.24.-) (Snake venom metalloproteinase) (SVMP),Reptiles,"(400, 410]",3
A0A0K0JFP3,HXK_BRUMA,Brugia malayi (Filarial nematode worm),2.7.1.1,572,Hexokinase (BmHK) (EC 2.7.1.1),Protists,"(570, 580]",2
P31580,HCE1_ORYLA,Oryzias latipes (Japanese rice fish) (Japanese killifish),3.4.24.67,270,High choriolytic enzyme 1 (EC 3.4.24.67) (Choriolysin H 1) (HCE23) (Hatching enzyme zinc-protease subunit HCE 1),Fish,"(260, 270]",3
P31581,HCE2_ORYLA,Oryzias latipes (Japanese rice fish) (Japanese killifish),3.4.24.67,279,High choriolytic enzyme 2 (EC 3.4.24.67) (Choriolysin H 2) (HCE21) (Hatching enzyme zinc-protease subunit HCE 2),Fish,"(270, 280]",3
Q4SBY6,HNMT_TETNG,Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis),2.1.1.8,291,Histamine N-methyltransferase (HMT) (EC 2.1.1.8),Fish,"(290, 300]",2
Q0V9P1,HNMT_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2.1.1.8,293,Histamine N-methyltransferase (HMT) (EC 2.1.1.8),Amphibians,"(290, 300]",2
Q5U4V2,HNMTA_XENLA,Xenopus laevis (African clawed frog),2.1.1.8,293,Histamine N-methyltransferase A (HMT A) (EC 2.1.1.8),Amphibians,"(290, 300]",2
Q0P4Y1,HISAT_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2.3.1.33,324,Histidine N-acetyltransferase (EC 2.3.1.33),Amphibians,"(320, 330]",2
P56519,HDAC2_CHICK,Gallus gallus (Chicken),3.5.1.-; 3.5.1.98,488,Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-),Birds,"(480, 490]",3
P56520,HDAC3_CHICK,Gallus gallus (Chicken),3.5.1.-; 3.5.1.98,428,Histone deacetylase 3 (HD3) (EC 3.5.1.98) (Protein deacetylase HDAC3) (EC 3.5.1.-) (Protein deacylase HDAC3) (EC 3.5.1.-),Birds,"(420, 430]",3
B1H369,HDAC8_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3.5.1.-; 3.5.1.98,369,Histone deacetylase 8 (HD8) (EC 3.5.1.98) (Protein deacetylase HDAC8) (EC 3.5.1.-) (Protein decrotonylase HDAC8) (EC 3.5.1.-),Amphibians,"(360, 370]",3
B0W3L6,CARM1_CULQU,Culex quinquefasciatus (Southern house mosquito) (Culex pungens),2.1.1.319,599,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(590, 600]",2
B3M1E1,CARM1_DROAN,Drosophila ananassae (Fruit fly),2.1.1.319,531,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(530, 540]",2
B3P4N5,CARM1_DROER,Drosophila erecta (Fruit fly),2.1.1.319,530,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(520, 530]",2
B4JXV2,CARM1_DROGR,Drosophila grimshawi (Hawaiian fruit fly) (Idiomyia grimshawi),2.1.1.319,544,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(540, 550]",2
B4KA23,CARM1_DROMO,Drosophila mojavensis (Fruit fly),2.1.1.319,539,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(530, 540]",2
B4GZ20,CARM1_DROPE,Drosophila persimilis (Fruit fly),2.1.1.319,531,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(530, 540]",2
B4HJC0,CARM1_DROSE,Drosophila sechellia (Fruit fly),2.1.1.319,530,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(520, 530]",2
B4QVW6,CARM1_DROSI,Drosophila simulans (Fruit fly),2.1.1.319,530,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(520, 530]",2
B4LVS8,CARM1_DROVI,Drosophila virilis (Fruit fly),2.1.1.319,538,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(530, 540]",2
B4NKI9,CARM1_DROWI,Drosophila willistoni (Fruit fly),2.1.1.319,533,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(530, 540]",2
B4PVH6,CARM1_DROYA,Drosophila yakuba (Fruit fly),2.1.1.319,530,Histone-arginine methyltransferase CARMER (EC 2.1.1.319),Insects,"(520, 530]",2
Q9ZUM9,ASHR2_ARATH,Arabidopsis thaliana (Mouse-ear cress),2.1.1.-,398,Histone-lysine N-methyltransferase ASHR2 (EC 2.1.1.-) (ASH1-related protein 2) (Protein SET DOMAIN GROUP 39),Plants,"(390, 400]",2
Q4QQN5,SETD7_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),2.1.1.364,366,Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.364) (SET domain-containing protein 7),Amphibians,"(360, 370]",2
Q5F339,CCHL_CHICK,Gallus gallus (Chicken),4.4.1.17,273,Holocytochrome c-type synthase (EC 4.4.1.17) (Cytochrome c-type heme lyase) (CCHL),Birds,"(270, 280]",4
A1JHN0,HSTC_CHLRE,Chlamydomonas reinhardtii (Chlamydomonas smithii),2.5.1.117,370,"Homogentisate solanesyltransferase, chloroplastic (CrHST) (EC 2.5.1.117) (Homogentisate prenyltransferase)",Algae,"(360, 370]",2
A0A0D2YG05,FUB5_FUSO4,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),2.3.1.31,362,Homoserine O-acetyltransferase FUB5 (EC 2.3.1.31) (Fusaric acid biosynthesis protein 5),Protists,"(360, 370]",2
O57424,HYAS2_CHICK,Gallus gallus (Chicken),2.4.1.212,552,Hyaluronan synthase 2 (EC 2.4.1.212) (Hyaluronate synthase 2) (Hyaluronic acid synthase 2) (CHAS2) (HA synthase 2),Birds,"(550, 560]",2
R4J7Z9,HYAL_LOXIN,Loxosceles intermedia (Brown spider),3.2.1.35,400,Hyaluronidase (EC 3.2.1.35) (Chondroitinase) (Dietrich's hyaluronidase) (Hyaluronoglucosaminidase) (Spreading factor),Arachnids,"(390, 400]",3
P85841,HYAL1_TITSE,Tityus serrulatus (Brazilian scorpion),3.2.1.35,385,Hyaluronidase 1 (TsHyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Arachnids,"(380, 390]",3
W0HFN9,HYAL2_TITSE,Tityus serrulatus (Brazilian scorpion),3.2.1.35,403,Hyaluronidase 2 (TsHyal-2) (EC 3.2.1.35) (Hyaluronoglucosaminidase) (Venom spreading factor),Arachnids,"(400, 410]",3
I0CME7,HYAL_CONCN,Conus consors (Singed cone),3.2.1.35,448,Hyaluronidase conohyal-Cn1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase),Molluscs,"(440, 450]",3
C0HKM3,HYAL_CONPU,Conus purpurascens (Purple cone),3.2.1.35,458,Hyaluronidase conohyal-P1 (EC 3.2.1.35) (Hyaluronoglucosaminidase),Molluscs,"(450, 460]",3
I0CME8,HYAL_CONAQ,Conus adamsonii (Cone snail),3.2.1.35,347,Hyaluronidase conohyal-ad1 (Hya) (EC 3.2.1.35) (Hyaluronoglucosaminidase),Molluscs,"(340, 350]",3
P86100,HYAL1_OLIMR,Olivierus martensii (Manchurian scorpion) (Mesobuthus martensii),3.2.1.35,410,Hyaluronidase-1 (BmHYA1) (HYA1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Venom spreading factor),Arachnids,"(400, 410]",3
A0A0D2YG06,FUB4_FUSO4,Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato),3.1.-.-,267,Hydrolase FUB4 (EC 3.1.-.-) (Fusaric acid biosynthesis protein 4),Protists,"(260, 270]",3
B4F6K2,GLO2_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),3.1.2.6,313,"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)",Amphibians,"(310, 320]",3
P23228,HMCS1_CHICK,Gallus gallus (Chicken),2.3.3.10,522,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",Birds,"(520, 530]",2
A0A0B4GT47,ARP2_METAF,Metarhizium anisopliae (strain ARSEF 549),1.1.-.-,267,Hydroxynaphthalene reductase-like protein Arp2 (EC 1.1.-.-),Protists,"(260, 270]",1
A0A0B4FP77,ARP2_METBS,Metarhizium brunneum (strain ARSEF 3297),1.1.-.-,267,Hydroxynaphthalene reductase-like protein Arp2 (EC 1.1.-.-),Protists,"(260, 270]",1
A0A0B4GU97,ARP2_METGA,Metarhizium guizhouense (strain ARSEF 977),1.1.-.-,267,Hydroxynaphthalene reductase-like protein Arp2 (EC 1.1.-.-),Protists,"(260, 270]",1
A0A0B4HVU2,ARP2_METMF,Metarhizium majus (strain ARSEF 297),1.1.-.-,267,Hydroxynaphthalene reductase-like protein Arp2 (EC 1.1.-.-),Protists,"(260, 270]",1
A0A0A1H7M6,PLETY_LOTJA,Lotus japonicus (Lotus corniculatus var. japonicus),2.4.2.58,361,Hydroxyproline O-arabinosyltransferase PLENTY (EC 2.4.2.58),Protists,"(360, 370]",2
A4IGM4,DHI1L_XENTR,Xenopus tropicalis (Western clawed frog) (Silurana tropicalis),1.1.1.-,286,Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3),Amphibians,"(280, 290]",1
Q6P7J1,DHI1A_XENLA,Xenopus laevis (African clawed frog),1.1.1.-,291,Hydroxysteroid 11-beta-dehydrogenase 1-like protein A (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3-A) (11-DH3-A) (11-beta-HSD3-A),Amphibians,"(290, 300]",1
Q7SYS6,DHI1B_XENLA,Xenopus laevis (African clawed frog),1.1.1.-,291,Hydroxysteroid 11-beta-dehydrogenase 1-like protein B (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3-B) (11-DH3-B) (11-beta-HSD3-B),Amphibians,"(290, 300]",1
A0A386JV86,TPS_NEZVI,Nezara viridula (Southern green stink bug) (Cimex viridulus),2.5.1.-,378,IDS-type sesquiterpene synthase (NvIDS1) (NvTPS) (EC 2.5.1.-),Insects,"(370, 380]",2
W5BGD1,HIS7B_WHEAT,Triticum aestivum (Wheat),4.2.1.19,269,"Imidazoleglycerol-phosphate dehydratase 2, chloroplastic (IGPD 2) (EC 4.2.1.19)",Plants,"(260, 270]",4
